T0117	hydrolase activity 	-0.24100000000000002	-0.9359999999999999
T0118	hydrolase activity 	0.125	-0.278
T0119	hydrolase activity 	0.17300000000000001	-0.11800000000000001
T0120	hydrolase activity 	0.601	-0.536
T0121	lyase activity 	-0.564	-0.4
T0122	lyase activity 	-0.9470000000000001	-0.048
T0123	oxidoreductase activity 	0.23800000000000002	0.096
T0124	oxidoreductase activity 	-0.47	-0.145
T0125	oxidoreductase activity 	0.585	0.053
T0126	oxidoreductase activity 	0.601	0.611
T0127	oxidoreductase activity 	0.40700000000000003	0.43
T0128	oxidoreductase activity 	0.731	0.361
T0129	oxidoreductase activity 	0.395	0.41
T0130	oxidoreductase activity 	0.508	0.149
T0131	oxidoreductase activity 	0.18600000000000003	0.419
T0132	oxidoreductase activity 	0.281	1.327
T0133	transferase activity 	0.298	-0.001
T0134	oxidoreductase activity 	0.511	0.13
T0135	transferase activity 	0.409	-0.304
T0136	transferase activity 	-0.578	-0.306
T0137	hydrolase activity 	0.598	-0.86
T0138	receptor activity 	-3.739	-0.004
T0139	protein binding 	-3.958	-0.133
T0140	oxidoreductase activity 	-0.064	-0.483
T0141	binding 	-1.064	-0.099
T0142	binding 	-0.878	0.15
T0143	electron transporter activity 	-0.249	0.057999999999999996
T0144	binding 	0.68	-0.449
T0145	hydrolase activity 	-1.203	0.858
T0146	hydrolase activity 	0.04	0.363
T0147	NONE	-0.503	-0.9159999999999999
T0148	protein binding 	-2.9330000000000003	-1.185
T0149	hydrolase activity 	-0.294	0.34600000000000003
T0150	lyase activity 	1.157	-0.128
T0151	binding 	-0.076	0.052000000000000005
T0152	binding 	0.107	-0.10099999999999999
T0153	binding 	0.001	-0.005
T0154	hydrolase activity 	0.198	-0.7879999999999999
T0155	hydrolase activity 	0.11699999999999999	-0.618
T0156	hydrolase activity 	1.001	-0.124
T0157	transferase activity 	-0.15	0.588
T0158	hydrolase activity 	1.177	-0.539
T0159	oxidoreductase activity 	0.7559999999999999	0.087
T0160	oxidoreductase activity 	0.6920000000000001	0.5529999999999999
T0161	oxidoreductase activity 	0.062	0.35200000000000004
T0162	oxidoreductase activity 	0.016	-0.047
T0163	oxidoreductase activity 	0.386	-0.248
T0164	oxidoreductase activity 	-0.146	-0.29600000000000004
T0165	transferase activity 	0.19899999999999998	-0.311
T0166	oxidoreductase activity 	-0.59	-0.012
T0167	oxidoreductase activity 	-0.545	-0.597
T0168	transferase activity 	-0.16	-0.326
T0169	lyase activity 	-0.091	-0.23399999999999999
T0170	antioxidant activity 	-0.23	-0.08199999999999999
T0171	oxidoreductase activity 	-0.14800000000000002	-0.276
T0172	oxidoreductase activity 	-0.32799999999999996	-0.332
T0173	lyase activity 	0.32799999999999996	0.29600000000000004
