D0001	Respiratory system	-2.585	0.013000000000000001
D0002	Systemic hormonal preparations, excl. sex hormones and insulins	0.025	0.218
D0003	Antiinfectives for systemic use	-2.271	-0.777
D0004	Nervous system	-1.95	4.822
D0005	Nervous system	-2.524	-0.138
D0006	Antineoplastic and immunomodulating agents	0.738	-0.483
D0007	Nervous system	-4.999	0.23
D0008	Cardiovascular system	-1.226	-0.539
D0009	Cardiovascular system	0.318	0.10400000000000001
D0010	Musculo-skeletal system	-0.797	1.5290000000000001
D0011	Sensory organs	-1.335	-2.135
D0012	Nervous system	-0.11800000000000001	0.002
D0013	Antineoplastic and immunomodulating agents	-1.39	1.278
D0014	Antineoplastic and immunomodulating agents	-0.32799999999999996	0.121
D0015	MIX	0.153	-1.1320000000000001
D0016	Cardiovascular system	-4.5889999999999995	-2.5989999999999998
D0017	Various	-0.13699999999999998	0.081
D0018	Nervous system	-4.692	-0.45399999999999996
D0019	Antineoplastic and immunomodulating agents	-0.094	-0.081
D0020	Various	-2.8789999999999996	-0.5579999999999999
D0021	MIX	1.0090000000000001	-0.268
D0022	Cardiovascular system	-1.186	0.11
D0023	Nervous system	-2.699	-0.47600000000000003
D0024	Alimentary tract and metabolism	-1.946	1.6840000000000002
D0025	Musculo-skeletal system	-2.3040000000000003	-0.359
D0026	Cardiovascular system	-0.259	5.416
D0027	Nervous system	-1.609	6.365
D0028	Sensory organs	-3.742	-2.571
D0029	Genito urinary system and sex hormones	-2.884	6.4
D0030	Alimentary tract and metabolism	-0.239	0.017
D0031		-1.024	-0.225
D0032	Nervous system	-2.121	-0.24600000000000002
D0033	Antiinfectives for systemic use	-2.888	-0.6609999999999999
D0034	MIX	0.26	-0.475
D0035	Antineoplastic and immunomodulating agents	-2.2359999999999998	0.9229999999999999
D0036	MIX	-3.742	-0.996
D0037	Cardiovascular system	-2.78	1.107
D0038	Nervous system	-2.3409999999999997	-0.102
D0039	Antiinfectives for systemic use	0.47	0.133
D0040	Nervous system	-0.17600000000000002	0.046
D0041	Cardiovascular system	-4.971	-1.272
D0042	Antiinfectives for systemic use	0.032	0.419
D0043	Cardiovascular system	-2.563	-0.7070000000000001
D0044	Nervous system	-0.826	-0.20800000000000002
D0045	Antiinfectives for systemic use	-0.574	-1.5819999999999999
D0046	Nervous system	-4.772	-0.519
D0047	Respiratory system	-4.2	-0.764
D0048	Cardiovascular system	-2.873	0.006
D0049	Cardiovascular system	-2.463	-0.428
D0050	Antineoplastic and immunomodulating agents	-1.022	1.129
D0051	MIX	-0.315	1.839
D0052	Musculo-skeletal system	-2.792	-0.336
D0053	Antiinfectives for systemic use	-1.495	0.27399999999999997
D0054	Nervous system	-2.842	-0.139
D0055	Genito urinary system and sex hormones	-1.892	-0.071
D0056	Nervous system	-3.4	0.043
D0057	Alimentary tract and metabolism	-0.755	0.773
D0058	Nervous system	-3.179	-0.298
D0059	Cardiovascular system	-2.418	0.57
D0060	Antiinfectives for systemic use	-0.825	-0.8440000000000001
D0061	Alimentary tract and metabolism	-0.8240000000000001	0.28600000000000003
D0062	Antineoplastic and immunomodulating agents	1.9380000000000002	1.0859999999999999
D0063	Cardiovascular system	-1.95	0.03
D0064	MIX	-2.778	-0.366
D0065	Antiinfectives for systemic use	0.109	0.073
D0066	Respiratory system	-1.261	-0.062
D0067	Alimentary tract and metabolism	0.355	-0.132
D0068	Cardiovascular system	-3.468	-0.467
D0069	Nervous system	-2.056	-0.561
D0070	Various	-0.17	0.26899999999999996
D0071	Cardiovascular system	-4.157	-0.21899999999999997
D0072	Cardiovascular system	-0.231	6.032
D0073	MIX	-3.2110000000000003	-0.5429999999999999
D0074	Antiinfectives for systemic use	1.995	1.0490000000000002
D0075	Nervous system	-3.853	0.015
D0076	Alimentary tract and metabolism	-5.436	-0.4
D0077	MIX	-4.369	-0.6709999999999999
D0078	Cardiovascular system	0.07	0.28300000000000003
D0079	Nervous system	-3.4339999999999997	4.066
D0080	Alimentary tract and metabolism	-3.177	-1.706
D0081	Antineoplastic and immunomodulating agents	-2.194	-0.079
D0082	Cardiovascular system	-0.9840000000000001	0.157
D0083	Antiinfectives for systemic use	-2.24	0.48700000000000004
D0084	Cardiovascular system	-0.13	0.392
D0085	Blood and blood forming organs	-0.033	0.152
D0086	Genito urinary system and sex hormones	-0.528	0.221
D0087	Cardiovascular system	0.083	0.126
D0088	Antiinfectives for systemic use	-1.3659999999999999	-0.254
D0089	MIX	-3.114	-0.012
D0090	Nervous system	-2.647	-0.195
D0091	Cardiovascular system	-1.953	0.024
D0092	Alimentary tract and metabolism	-0.912	0.6809999999999999
D0093	Antineoplastic and immunomodulating agents	-2.24	-1.24
D0094	Nervous system	-2.549	-0.08900000000000001
D0095		-3.03	0.152
D0096	Sensory organs	-1.456	8.075
D0097	MIX	-2.661	-0.546
D0098	Cardiovascular system	-0.758	-0.021
D0099	Cardiovascular system	-4.699	-0.215
D0100	Antineoplastic and immunomodulating agents	-3.946	-0.575
D0101	Nervous system	-2.556	-0.12300000000000001
D0102	Antineoplastic and immunomodulating agents	-0.6409999999999999	-0.141
D0103	Cardiovascular system	-1.7530000000000001	5.319
D0104	Musculo-skeletal system	-2.6060000000000003	-1.643
D0105	Cardiovascular system	-1.7519999999999998	-0.99
D0106	Sensory organs	-1.311	12.23
